Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
robotium,testautomationframeworks(0.9775227904319763),screenfly(0.9697611927986145),tosca(0.958429753780365),hybridmobileapps(0.9486504793167114),soatesting(0.9466195106506348)
maintainingaccounts,timemanagementskill(0.9644133448600769),solvingproblems(0.9614282846450806),strongattentiontodetail(0.9596711993217468),multilingual(0.9587599635124207),quickdecisionmaking(0.9568369388580322)
mercurial,jenkinsci(0.9384873509407043),ilog(0.923210859298706),ehcache(0.9218114614486694),technical management(0.917618989944458),deliverypipeline(0.9174695014953613)
pojo,objectrelationalmapping(0.9634699821472168),springframeworks(0.9621326923370361),hibernateorm(0.9561200737953186),mvcframework(0.9460087418556213),jasperreporting(0.9457588791847229)
wildfly,sonar(0.9286335706710815),portlet(0.9099518656730652),offshoredevelopment(0.9088281393051147),websphereapplication(0.9025547504425049),apachekafka(0.9011716842651367)
itarchitecture,sqldatabase(0.8563811182975769),oraclecertified(0.8207688331604004),serverinstallation(0.81377774477005),databasedesign(0.7958297729492188),databasemanagementsystem(0.7947506904602051)
dli,it software(0.8719992637634277),tor(0.867002010345459),aa(0.8420937061309814),gc(0.8389222621917725),manpowerrecruitment(0.8385788202285767)
businessintelligencereporting,ddr(0.9023836255073547),bexanalyzer(0.881798267364502),objectorientedabap(0.8815252780914307),programs sales(0.875511109828949),mass mailing(0.8727169632911682)
res,peoplesofthrms(0.7832117080688477),oraclesystems(0.7760208249092102),sqldatabasesoracle11g(0.7725724577903748),ricecomponents(0.763420045375824),olaptools(0.7586234211921692)
idi,web service(0.8975117802619934),concurrency(0.8971072435379028),java6(0.8581156730651855),serversideprogramming(0.8562180995941162),creativeskills(0.8544162511825562)
msl,jil(0.9071886539459229),netmvc(0.8977797031402588),net35(0.8974105715751648),dotnetframework(0.8911464214324951),i18n(0.8904419541358948)
plsqldevelopment,x++(0.8557950258255005),o365(0.8497008085250854),sapcrystalreports(0.8307063579559326),ms visualstudio(0.8277930021286011),paymentgateways(0.8225430250167847)
implementationmanagement,emcstorage(0.8999684453010559),timinganalysis(0.8906465768814087),cifs(0.8804484009742737),storageadministration(0.8547457456588745),datalossprevention(0.8535031676292419)
noetix,reportmanager(0.9427849054336548),datatransformation(0.94059818983078),dw(0.9371205568313599),informaticadataquality(0.9308333992958069),starschema(0.9198923110961914)
pricenegotiation,salesmanager(0.8899834752082825),billofmaterials(0.8889293074607849),plantmanagement(0.8808072209358215),guestsatisfaction(0.8708469271659851),monthlysales(0.8688144683837891)
tendering,eventplanning(0.8473148345947266),presentationpreparation(0.8443683981895447),servicequality(0.8430221676826477),analyzingmarkettrends(0.8429058790206909),performancemonitoring/kpi's(0.8395386934280396)
pricingmodels,hp alm(0.6928067803382874),agileprocesses(0.6851903200149536),agilemanagement(0.6823406219482422),biometrics(0.6807560920715332),applicationlifecyclemanagement(0.6799992322921753)
systems development,design reviews(0.9170883893966675),sharepointtechnologies(0.9108782410621643),usmortgage(0.8924282193183899),design documentation(0.8898454904556274),sdlcprocess(0.8898071050643921)
oot,jsp/servlets(0.9444552063941956),springwebflow(0.9405937790870667),jaas(0.9401207566261292),googlewebtoolkit(0.9398936629295349),springframeworks(0.9381420016288757)
ntier,sharepointtechnologies(0.8566437363624573),designdocumentation(0.845836341381073),clientserverapplications(0.8453314304351807),client/serverapplications(0.8443745970726013),client serverapplications(0.8438557982444763)
clientdiscussions,softwaredevelopmentprocess(0.8187116980552673),excellentprogrammingskills(0.7674861550331116),gatherproduct(0.7646855711936951),improveproductivity(0.7635424733161926),opal(0.7616445422172546)
capsules,resteasy(0.9664625525474548),microservicearchitecture(0.9481534361839294),tibcobusinessworks(0.9457356333732605),restfulapis(0.9330244064331055),productengineering(0.929956316947937)
openerp,mysql4/5(0.934946596622467),odoo(0.9306244850158691),pyramid(0.8852518796920776),mysqldatabase(0.880168616771698),pyunit(0.8760989904403687)
odoo,openerp(0.9306245446205139),mysql4/5(0.9199128746986389),textprocessing(0.8957671523094177),portaldevelopment(0.8588438630104065),convolutionalneuralnetwork(0.858300507068634)
qualityaudit,resourceutilization(0.9543359875679016),rohs(0.9536281228065491),tradeprocessing(0.9500409960746765),supplymanagement(0.9460719227790833),budgetplanning(0.9432191848754883)
emctools,hpservicemanager(0.9510454535484314),osconcepts(0.9286046028137207),emccelerra(0.9279026389122009),vmwarethinapp(0.9214350581169128),helpmanagement(0.9213834404945374)
osconcepts,unisphere(0.9415979981422424),rdp(0.9380456209182739),vmwarethinapp(0.9293647408485413),emctools(0.9286046028137207),vdi(0.9279481172561646)
emc vnx,cifs(0.9778962731361389),emcclariion(0.9453197121620178),emcstorage(0.9375519752502441),wifi(0.9191889762878418),malwareanalysis(0.9126163721084595)
switches,ieee80211(0.9587339162826538),asafirewall(0.9560295939445496),gtm(0.9475652575492859),ciscocallmanager(0.9469693899154663),fwsm(0.9370381236076355)
hr,nds(0.8495665192604065),financialacumen(0.8479139804840088),designengineering(0.8420345187187195),actionplans(0.8372795581817627),costcontrols(0.8330247402191162)
mba,analysisexperience(0.916090726852417),salesexperience(0.9008622765541077),dairy(0.8981617093086243),facilitiesmanagement(0.897146999835968),scheduling(0.894541323184967)
salesexecutive,tungsten(0.6037891507148743),tradeshift(0.5770373940467834),ccda(0.5641188025474548),qualifyleads(0.5486980080604553),marketingposition(0.5468799471855164)
adobeframemaker,sketchup(0.934779703617096),imovie(0.9287447929382324),finalcutpro(0.9194486141204834),adobepremiere(0.9174519777297974),corel(0.9114719033241272)
electronicmail,instagram(0.7440744638442993),informationtechnology(0.7433086037635803),clienthandling(0.735028088092804),corebankingsoftware(0.7336582541465759),projecttracking(0.7247923612594604)
instagram,clienthandling(0.8218070268630981),healthcareindustry(0.8208478689193726),deliverysystems(0.8191437125205994),prioritization(0.8177675604820251),mrd(0.8170040249824524)
web basedproxymanager,eventplanning(0.8767151832580566),packagingdesign(0.8760806322097778),customersatisfactionindex(0.8760367035865784),keydecisionmakers(0.8692288994789124),presentationpreparation(0.8659911751747131)
youtube,understandingcustomerrequirements(0.8979805707931519),businessopportunities(0.8782992362976074),marketingstrategy(0.8777117729187012),copywriting(0.8776646256446838),mobilemarketing(0.8719335794448853)
connectivity,ppme(0.6883212327957153),muse(0.6863049268722534),remedy(0.6702645421028137),apacheairflow(0.6616255640983582),microsoftwindowsazure(0.6588189005851746)
microsoftaspnet,backoffice(0.8692765235900879),imanage(0.8649641871452332),inglese(0.8624997138977051),softwares(0.8614592552185059),kommunikationaufenglisch(0.8591685891151428)
autodeskautocadlt,knowledgeofinternet(0.8795391321182251),staad pro(0.8645905256271362),pspice(0.8532523512840271),mos(0.8374038934707642),3dmax(0.8354889154434204)
monitoring,msoffice word(0.880967378616333),msp(0.8718165755271912),faultfinding(0.8676536679267883),windows operatingsystems(0.8631635308265686),microsoftofficesuite(0.8629846572875977)
microsoftcomponentobjectmodel,facebook(0.7974991798400879),vul(0.7881843447685242),professionalmanner(0.7819232940673828),imagination(0.7659059166908264),smartwork(0.7642045021057129)
vul,fl(0.8377741575241089),microsoftcomponentobjectmodel(0.7881842851638794),marketingplanning(0.7485100030899048),engineer(0.7439987659454346),managementmarketing(0.7372850179672241)
hradministration,reducecost(0.8013859391212463),concentration(0.7965041399002075),businessstrategy(0.7957853674888611),tat(0.7952902913093567),informationtechnologymanagement(0.7876900434494019)
hrcontrolling,marketdevelopment(0.8482372760772705),usp(0.8328156471252441),technicalsales(0.8290733098983765),bestpossiblecustomerexperience(0.8280923962593079),packagingdesign(0.8279696702957153)
talentacquisition ,managingbusiness(0.8391791582107544),jobanalysis(0.8295325040817261),iso20000(0.8279728293418884),customersatisfactionmatrices(0.8276565670967102),hrstrategies(0.8274885416030884)
8dproblemsolving,organizationskills(0.8427823781967163),leadershipcapabilities(0.8296040296554565),creativethinker(0.8287580013275146),operationsanalysis(0.8276079893112183),customers requirements(0.8261215686798096)
processaudit,qms(0.5255007743835449),netconf(0.5079017281532288),teradata sql(0.4984132647514343),enterpriseclients(0.48417165875434875),cloudenvironments(0.48242083191871643)
5why,environmentalhealth(0.7390174269676208),customerprofiling(0.7336727976799011),riskcompliance(0.7334344983100891),preparingproposals(0.7280672788619995),drivingnewbusiness(0.7229184508323669)
bachelorsengineering,englischesprache(0.17514221370220184),ddk(0.1649632602930069),mplsvpn(0.1374851018190384),checkpointvpn(0.13529354333877563),l3vpn(0.13460920751094818)
logisticsplanning,qualitysystems(0.8768242597579956),bop(0.8766252994537354),msa(0.8694968819618225),productionmanagement(0.8694120645523071),manufacturingmanagement(0.8683472871780396)
teamfähig,designformanufacturability(0.8864213228225708),insight(0.8850071430206299),calculateandauditdata(0.882666826248169),navision5years(0.8801872134208679),consultant(0.8794366717338562)
teamleitung,firefighting(0.6599357724189758),deepermarketpenetration(0.6461169719696045),satellite(0.634873628616333),cdma(0.6329813599586487),tdma(0.6308364272117615)
auditplanning,developing&implementationssowsafesystemsofwork(0.7134115099906921),v ray(0.6897459030151367),fotografieren(0.6849910020828247),understandanddefusedifficultsituationswhileunderpressure(0.6834426522254944),erpsysteme(0.6783704161643982)
chinesisch,telecommunications6years(0.695688784122467),verkaufsleitung(0.669363796710968),scada6years(0.6674513816833496),microstrategyselfservicebi3years(0.6659780144691467),deepneuralnetworks(0.6579867005348206)
englisch,quotations(0.8420639634132385),rawmaterial(0.8405126929283142),financialreports(0.8371208310127258),businesswriting(0.8338187336921692),gaap(0.8328020572662354)
anpassungsfähigkeit,food(0.7415695190429688),revenue(0.7140406370162964),customerqueries(0.706686794757843),regulatory(0.6916418671607971),aerospace(0.6849159002304077)
flexibilität,crossfunctional(0.7155948281288147),teamleadership(0.7102817296981812),humanresource(0.6850721836090088),corporateclients(0.683809757232666), strong(0.6835880279541016)
beratunge commerce,adsl(0.39249974489212036),outlook10+years(0.389180064201355),usbanking(0.3861113488674164),ordering(0.38521474599838257),boo(0.382188618183136)
inventarbuchhaltung,olatoperatorlicenceawareness(0.5992114543914795),nhsandunitednations(0.5845175385475159),sapsuperuser(0.545724630355835),gstreamer(0.5449986457824707),yarn(0.5421805381774902)
inventurleitung,projectplans(0.6593063473701477),foodproducts(0.6588295102119446),lending(0.655204713344574),investmentbanking(0.6546823382377625),workflowmanagement(0.6533199548721313)
inventurzählung,oraclesql(0.6434495449066162),toad(0.6406698822975159),unix shell(0.629383385181427),testdirector(0.6272386312484741),control m(0.6253963112831116)
kpimanagement,iso9001(0.8822050094604492),kommunikation(0.8781059980392456),kaizen(0.8763172626495361),5s(0.8736144304275513),continuousimprovement(0.8705776929855347)
apple,accessaccountsystem(0.8995316624641418),syspro(0.8855578899383545),sapafs(0.8810856342315674),wms(0.8788659572601318),ricef(0.8776279091835022)
außenhandel,microsoftofficesuite outlook/word/powerpoint(0.8917566537857056),sapcertified(0.8912732005119324),sappp(0.8905764818191528),rar(0.8868124485015869),erp sap(0.8808804154396057)
colliers360portfolioexpert,sapqm(0.828334629535675),sapfiori(0.8239001631736755),netweaver(0.8200473189353943),sap bpc(0.8191514015197754),hyperionfinancialmanagement(0.8174365758895874)
e commerce/internet,investmentaccounting(0.6856682300567627),electroniccommerce(0.665107250213623),timesten(0.6489119529724121),inv(0.6445279121398926),cre(0.6433079838752747)
computertechnologie,managingthee2esupplychainprocess(0.18306998908519745),transaktionsbegleitung(0.18057748675346375),knowledgeofpurchasingenvironment(0.17640133202075958),storesoperations(0.1714480221271515),nationalcontractsadministrator(0.16648606956005096)
planning/projectplanning,prince2(0.9111003279685974),word(0.9071426391601562),reporting(0.9046508073806763),analytics sales(0.8959734439849854),bankingapplication(0.8943387269973755)
developmenttools_agile,mastersdegree>masterofarts>masterofartsspecialisedtranslation(0.8048178553581238),italian(0.793485164642334),communicationmanagement(0.7868710160255432),reducecost(0.7814759612083435),assembly//implementing(0.7802701592445374)
officeapplications_msproject,procurementchannels(0.906217098236084),futuremarkets(0.9011118412017822),dealclosing(0.899696946144104),businesscommunications(0.8890925645828247),jde(0.886541485786438)
arisplatform,handling project(0.8730564713478088),scopemanagement(0.8586972951889038),prioritizationskills(0.8482544422149658),projectmanagementprofessional(0.8456348180770874),projectmanagementtraining(0.841941237449646)
professionalitexperiences_processmodelling,support/management(0.6961748003959656),dmr(0.6892648339271545),projectmanagementprofessional(0.6762382388114929),pmp(0.6735177040100098),monitoringsystems(0.6719871163368225)
datenvisualisierung,adobeflash(0.568515956401825),adobephotoshoplightroom(0.5649421215057373),pro*c(0.5434196591377258),hdl(0.5402660369873047),xmlspy(0.5352500081062317)
html+css,mvcaspnet(0.8912047147750854),webrtc(0.8903229236602783),gson(0.8859559297561646),android api(0.8813480734825134),ajax javascript(0.8808420300483704)
itilzertifiziert,cmmi(0.8576268553733826),qaprocesses(0.8282144665718079),scrumdevelopment(0.8237413763999939),sdlclifecycle(0.8112941980361938),releaseplanning(0.8092002868652344)
it leitung,purchasing5years(0.5815144181251526),h323(0.5769908428192139),lacp(0.5726266503334045),metroethernet(0.5585215091705322),mpls vpn(0.5564848780632019)
it service,marketingsupport(0.493887335062027),editorial(0.4936788082122803),performancemanagementsystem(0.491256445646286),upssales(0.48807865381240845),userresearch(0.4850448966026306)
suppliermanagement,vendordevelopment(0.9725728631019592),qualitycustomerservice(0.9699491858482361),storemanagement(0.9676268696784973),productsourcing(0.9667863845825195),upselling(0.966692328453064)
experienceininternationalcompanies,cns(0.7682238221168518),incomingquality(0.7514101266860962),deepermarketpenetration(0.746746301651001),analysis&insightkantar(0.7431625127792358),operation(0.7406474947929382)
analytischfähigkeiten,mysap(0.7399925589561462),march2005receptionist(0.7326668500900269),ordertocash(0.7215861082077026),userexit(0.7108849883079529),substantialpracticalexpertiseinatechnicalprocurementrole(0.7095221281051636)
beschaffung,enjoysmeetingchallengesandseeingthemthrough(0.6357895135879517),bothfinancialandstrategically(0.6275205016136169),trainedtheteamtoachieveamulti skilledteamenablingthemtosupporteachotherandcoverallrolesattimesofabsence(0.6120338439941406),decisionmaker(0.5870758295059204),knowledgeandimplementationofhealthandsafetyrulesandrecentlystartedtheneboshgeneralcertificatecourseconductingsafetywatchobservationprogrammesswop(0.586758553981781)
beschaffungsplanung,tradesales(0.7813900113105774),haccp(0.7805449366569519),kenntnisseüberteambildendemaßnahmen(0.7743256688117981),deviationmanagement(0.766575038433075),distributionsales(0.7639985680580139)
großhandel,web data analysis(0.8160350918769836),owasp(0.8037038445472717),karma(0.800346851348877),iphone(0.7993059158325195),pyselenium(0.7947209477424622)
materialsaadministration/logistics/management/logistics,structuralanalysis(0.9064350128173828),healthinsurancebusiness(0.8781983852386475),manpowerplanning(0.8767358064651489),performainvoices(0.875868558883667),formulatebusinessplan(0.870864748954773)
erm applications_sapr3,billofmaterials(0.9257146716117859),salesmanager(0.9231399893760681),dataarchiving(0.9157798886299133),excellentverbalcommunication(0.9141703248023987),einkaufscontrolling(0.910666823387146)
engineering_planning/projectplanning,dataacquisition(0.932470977306366),exceptionalresearch(0.9291034936904907),electricpalletjack(0.9220852851867676),strategicsales(0.9209794998168945),maintaincustomersatisfaction(0.9206404685974121)
analyse,betriebstechnik(0.8953493237495422),itoperations(0.8943111300468445),budget;*control(0.8930670022964478),sdms(0.8908448815345764),rfpresponses(0.880354106426239)
betriebstechnik,analyse(0.8953490257263184),brandgrowth(0.8865926861763),itoperations(0.8859458565711975),rfpresponses(0.8831235766410828),keyperformanceindicators(0.8743953108787537)
continuousimprovement,kaizen(0.9470469951629639),tqm(0.9376658201217651),leansixsigma(0.9336295127868652),projectteams(0.9251464605331421),buildingcodeandregulations(0.9232545495033264)
credit,dommanipulation(0.49523240327835083),bankingservices(0.481835275888443),writingmanagementreports(0.47256726026535034),internalonlineplatformdevelopmentandmanagement(0.46824970841407776),equitydealing(0.46655306220054626)
financialrisk,speechrecognition(0.193839892745018),textprocessing(0.1884334832429886),mobileappdevelopment(0.17873424291610718),streamliningofprocesses(0.17839597165584564),goodrelationshipandmanagementskillsandnaturalproblemsolver(0.17788098752498627)
auslandserfahrung,stockcontrol(0.830371618270874),officeadministration(0.8276074528694153),stockmanagement(0.8238784074783325),inventory(0.811215877532959),emailing(0.7978900074958801)
financecontrolling,environmentalsystems(0.5491941571235657),warley(0.5436543226242065),reputationofbeingaccurate(0.5308877229690552),financefunction(0.5207791328430176),salesapproaches(0.518855094909668)
prozessmanagement,includingsitevisitsand/oruseoftheinternetwhereitisnecessarytoconfirmstocklevelsmaintainawrittenrecordofkeypointsfromconversationswithcustomersorotherdepartmentsfollowiso9000proceduresrelevanttothecustomerservicedepartmentensuredataontheepicorcustomerrequirementsareaisaccurateanduptodatehelpwiththeupkeepofadepartmentalproceduresmanualdetailingmethodsassistinthemaintenanceofthecustomerrelationshipsystemassistinthemaintenanceofthecustomercomplaintssystemupkeepofdiarydetailingmovementsofkeystaffsalessupport(0.5122392773628235),revenueandspendanalysis(0.49990925192832947),supportteams(0.4884197413921356),sage200/eque2constructaccountsandprocurementsystem(0.48637858033180237),takingclientpaymentsandoperatingcashregister(0.485766738653183)
transaktionsbegleitung,everyonemattersethosstakeholderengagement(0.45796021819114685),jdedward(0.44346410036087036),sapsd(0.44342195987701416),dataprotection(0.43715235590934753),prince2lessthan1year(0.4340752363204956)
kpidashboards,materialmanagement(0.9013242721557617),clientcommunications(0.9004417061805725),slas(0.8974804878234863),jobanalysis(0.8958494067192078),clientcoordination(0.8938975930213928)
mitarbeiterführung,iso9001(0.7202016115188599),produceregularreports(0.7098737359046936),personalmanagement(0.7085012197494507),environmentalsystems(0.7029813528060913),management operations(0.7023958563804626)
einkaufinternational,personal(0.8227614760398865),siemens(0.8034151792526245),powerelectronics(0.7647149562835693),layoutdesign(0.7635830044746399),appdevelopment(0.7598037719726562)
sapsd/mm,powerpointandsage200(0.39515069127082825),clientrequest(0.39159083366394043),includingsitevisitsand/oruseoftheinternetwhereitisnecessarytoconfirmstocklevelsmaintainawrittenrecordofkeypointsfromconversationswithcustomersorotherdepartmentsfollowiso9000proceduresrelevanttothecustomerservicedepartmentensuredataontheepicorcustomerrequirementsareaisaccurateanduptodatehelpwiththeupkeepofadepartmentalproceduresmanualdetailingmethodsassistinthemaintenanceofthecustomerrelationshipsystemassistinthemaintenanceofthecustomercomplaintssystemupkeepofdiarydetailingmovementsofkeystaffsalessupport(0.382432222366333),trainingneeds(0.3784562051296234),acquisition(0.3775433897972107)
sapr3,haccpinternaltraining(0.2789660096168518),researchoriented(0.25183340907096863),powersupply(0.2475069761276245),mplab(0.24742504954338074),excellentinterpersonalskills(0.2416646033525467)
bridgebuildingtooneanother,sla's(0.8950784802436829),orderentry(0.8916147351264954),servingfood(0.8905174732208252),greetingguests(0.8891124725341797),switchboardoperator(0.884783148765564)
interface,service|sales(0.9267012476921082),customerservice|sales(0.9241061806678772),autism(0.9227963089942932),showroomsales(0.9187631011009216),policychanges(0.9158746600151062)
kundenkommunikation,competentintheend to endprocurementprocess4years(0.802855372428894),customerservice operations(0.7787384986877441),productionscheduling(0.7773085832595825),hnd>hndbusinessmanagement(0.7772722840309143),fluentinmalay(0.769187331199646)
materialsadministration/logistics/management,executingbusinessstrategies(0.9463107585906982),answercustomerqueries(0.9449619054794312),management/distribution(0.9441858530044556),revenuerecognition(0.9438487887382507),internationalconferences(0.9432368874549866)
lernbereitschaft,pythondevelopers(0.4518055319786072),pythonengineer(0.4447096586227417),pythonautomationdeveloper(0.4342597424983978),softwareprogramming(0.4340135157108307),softwaredeveloper(0.432772159576416)
kaufmännischerangestellter,azurecdn(0.6164548397064209),processingcustomerspayments(0.6030482649803162),plusalwaysdemonstrategoodinterpersonalandinteractiveskills(0.5878542065620422),componentsandproducts(0.5861606001853943),projectcompletedontimetoallowstocktobetransferredbetweenmrpsystemstomeetbusinessdeadlines(0.5844934582710266)
kundenorientierung,successfultrackrecordinproblemsolving(0.5051714181900024),initiateanddeveloprelationshipwithsuppliersandcustomers(0.49160927534103394),react redux(0.4838050603866577),es6(0.4801102578639984),typescript(0.47205281257629395)
organisiert,navigation(0.4989073872566223),projectmanagement:managedateamof4contractorsfora2yearperiod(0.472095251083374),leadershipskills(0.4702093303203583),convincing(0.46629393100738525),radio(0.4660639762878418)
ausbildereignung,supplier/customerliaison(0.8281601071357727),excel&powerpointtheabilitytoreadandunderstandengineeringdrawings5sactivitiesiso9001(0.8278868198394775),curious(0.8253927826881409),10fingerschreibtechnik(0.8159283399581909),fotografieren(0.8156799674034119)
konzeptionierung,init(0.858924925327301),microsoftoffice;word(0.8382927775382996),project(0.8323618173599243),vlookup/pivot(0.8275723457336426),rumba(0.8198506832122803)
kpiimplementation,internalcontrols(0.9354481101036072),costcontrol(0.9282189607620239),salesforecasting(0.9274644255638123),staffdevelopment(0.9250274896621704),hrmanagement(0.9240571856498718)
civilengineering+mba/german/english/spanish,workfusion(0.1668238639831543),photovoltaik(0.16459833085536957),otrs(0.161436527967453),mappingtools(0.1604466289281845),fxcop(0.1568552851676941)
managment,sixsigmayellowbelt(0.17440782487392426),chemicalsindustry(0.17302720248699188),benghonsmechanicalengineeringaccreditedbyimechecoursemodules:structuralmechanicsfluidmechanicsthermodynamicsandheattransferengineeringmaths3ddesignmodelling(0.17154090106487274),equitymarket(0.16913844645023346),maintenanceplanning(0.16778944432735443)
planningresponsibility,improvingproductivity(0.880476713180542),deliverpresentations(0.868500292301178),projectdeliverables(0.868153989315033),workflowanalysis(0.8625469207763672),businessprocessconsulting(0.857806384563446)
projectportfolio,workflowanalysis(0.9127585291862488),consumerproducts(0.9024304151535034),projectstrategy(0.8957996964454651),businesscases(0.8947893381118774),businessmodelinnovation(0.8921689987182617)
abteilungsleitung,myteamwereresponsiblefor4majorcontractsutcaerospacesystemsclaverhamdirectlinefeed(0.5884541273117065),keyareasanswertelephonecallsandwherenecessaryforwardthemtotheappropriatepersonregularlycheckforordersarrivingintheofficebyfaxoremailandpostaccuratelytranslateandentercustomerordersontothecomputersystemastheyarriveandwithinanagreedtimetobereviewedregularlyenterorderamendmentsontothecomputersystemwithinanagreedliaisewithproduction/planningdepartmentabouttheseamendmentsassistwiththereviewandacknowledgementofsalescontractswithinagreedguidelinesregularlyreviewscheduledordersbydirectcontactwithcustomershelpensuredispatchdatesaremetorimproveduponandwherethisisnotpossiblecommunicatewithcustomersaboutanypotentialdelaysandifpossiblenegotiateanewdateassoonasaproblemhasbeenidentifieddispatchorderacknowledgementswithinoneworkingdayofcontractreviewdispatchukinvoicesandukcreditnotesonthedaytheyareraisedandmanagethoseforothercountriesintheacceptedmannermanageshippingdocumentationfornoneudispatchesproduction/planningassistinthemanagementofcustomersstockholdingagreementsassistinthemanagementofconsignmentstockholdingagreementsandstocklevels(0.5809487104415894),short term(0.5778051614761353),supplierandstakeholderrelationships(0.5701162219047546),cog(0.5647376179695129)
frachtbeförderung,outlook10+years(0.6402429342269897),oud(0.6054203510284424),thoroughknowledgeofpurchasetopayv lookup(0.5860435366630554),unisphere(0.5779590606689453),capacitymanagement(0.5735370516777039)
keyaccount management,cruisecontrol(0.7142500877380371),plugins(0.7067483067512512),csharp(0.7015397548675537),web desktop(0.6978365778923035),gcd(0.695899248123169)
kvp management,oauth(0.6428742408752441),dropwizard(0.6409111618995667),hibernate(0.630715012550354),jsf(0.6204530596733093),jaxb(0.6188969016075134)
logistikbranche,maintainingcustomercarealliedhealthcareaugust2002(0.6128381490707397),olatoperatorlicenceawareness(0.6054773926734924),recruitmentofstaff(0.5796250104904175),planwriteandgivetoolboxtalks(0.5782926678657532),productinformationmanagement(0.5765249729156494)
installationen,gbu(0.6061524748802185),ecmascript(0.5780174136161804),front enddevelopment(0.5726746320724487),cross browsertesting(0.5671229362487793),sofware as a service(0.5652669668197632)
maintenance,collaborationandstakeholdermanagement(0.9641956686973572),emailing(0.9566256999969482),officeskills(0.9560046195983887),autodeskinventor(0.9552108645439148),sanitation(0.9529966711997986)
projektabwicklung,polycombridge8years(0.5909339785575867),projectcompletedontimetoallowstocktobetransferredbetweenmrpsystemstomeetbusinessdeadlines(0.5896345973014832),cityandguildcertificateinmechanicalmaintenance(0.5844588875770569),qaaws(0.583441436290741),crossanalysisofmonthlysalesfiguresagainsteachofthetop10accounts(0.5730139017105103)
industriedesign,bts(0.800849437713623),voicexml(0.7927044034004211),tdma(0.7908324003219604),consistentlyseekstoimproveandstreamlineinternalprocesses(0.7898907661437988),qualityaudit(0.7898288369178772)
produktion,solidunderstandingofbookkeeping(0.5496821403503418),problemsolvingabilities7years(0.4990113377571106),workinginfastpacedproductionenvironments(0.48826080560684204),processingofcontractorinvoicesforpaymentbyourclient(0.48597782850265503),proactive&hardworking(0.4834137260913849)
analysetechnik,pythondevelopers(0.49654823541641235),pythonengineer(0.4866839051246643),pythonautomationdeveloper(0.4825102686882019),softwareengineer python(0.4759855568408966),xitami(0.4566110074520111)
auffassungsgabe,firstaid10+years(0.7919811606407166),purchasing5years(0.7618538737297058),6000(0.7544892430305481),attendingweeklymanagersmeetings(0.7498812675476074),ordermanagement5years(0.7440874576568604)
budgetplanung,b2bdirectsales(0.564544141292572),stakeholdermanagement5years(0.5368764400482178),abletocommunicateatalllevels(0.5349997282028198),telecommunications6years(0.5341566205024719),jira3years(0.5302426815032959)
budgetverantwortung,ciscounity(0.8635432124137878),strategydevelopment(0.8632683157920837),itgovernance(0.8617563843727112),projectlifecyclemanagement(0.8530542254447937),rfpresponses(0.8509654998779297)
maschinenbau,computeranimation(0.892693042755127),customerliaison(0.8722102046012878),expedia(0.8695502281188965),handling(0.8653628826141357),presentationpreparation(0.865218460559845)
excelspreadsheet,businessexcellence(0.9448819160461426),salesexperience(0.935377299785614),dairy(0.9348918199539185),contractnegotiation(0.9346045851707458),telemarketing(0.932796835899353)
word,vlookup(0.9795750975608826),pivottable(0.9605449438095093),microsoftofficeprograms(0.9596611857414246),gelelectrophoresis(0.958177387714386),v lookup(0.9572335481643677)
rhinoceros,stateflow(0.6656587719917297),personaldevelopment(0.6556355953216553),pspice(0.6431803107261658),testequipment(0.6361052393913269),mos(0.62972092628479)
vertriebskompetenz,socketio(0.37015607953071594),highcharts(0.35455551743507385),maintainclient(0.3505377769470215),javascript ajax(0.3457494080066681),bi/reporting(0.345360666513443)
vertriebsorientierung,jsp servlets(0.5775318741798401),servlets(0.5755103826522827),hibernate(0.5735782384872437),javabeans(0.5726838707923889),applets(0.5722010135650635)
produktmarketing,payrollsoftware(0.9170932769775391),quickbook(0.9145804643630981),manufacturability(0.9125949740409851),financialmodels(0.9124171137809753),financialstatementanalysis(0.9077519774436951)
logisticsindustry,schematics(0.7186451554298401),jobtraining(0.707768440246582),hippa(0.7048940062522888),soldering(0.703685998916626),security+(0.6957376003265381)
orderfulfillment,coordinatetraining(0.6613863110542297),attendingweeklymanagersmeetings(0.6465391516685486),accountmanager(0.6426807641983032),providingcustomers(0.6267122030258179),bestpossiblecustomerexperience(0.6242508292198181)
materialsplanning,compile(0.6840628981590271),abilitytoeffectivelyanalyse(0.6765917539596558),problemsolvingandconfidentdecisionmakingwithhandsonapproach(0.6759205460548401),microsoftproficientinword(0.6723496317863464),processdevelopmentsuppliermanagementprocurementcontractmanagementspecificationwritingtenderevaluationsprojectmanagementfinancialreportingnegotiationrelationshipmanagementfinancialacumenanalyticalprofessionalresultsfocused(0.6692478656768799)
businesseconomics,merchandising business(0.9146055579185486),longtermrelationship(0.9139162302017212),salesskills(0.9107199311256409),legalrequirements(0.9089188575744629),management/distribution(0.9052450656890869)
sap/erpdevelopment,windowsoffice(0.5938911437988281),windows98(0.5923314690589905),microsoftwindows2000(0.5724827647209167),windows8(0.5690662860870361),windowsvista(0.5642243027687073)
